treat,Day,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21,value22,value23,value24,value25,value26,value27,value28,value29,value30,value31,value32,value33,value34,value35,value36,value37,value38,value39,value40
Non_SMK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Non_SMK,7,6.244175,5.78349,3.761349,1.061375,3.070175,4.466593,9.09914,0.695866,3.110354,4.904632,8.632041,6.737172,10.17649,3.514871,6.731157,13.8487,15.46581,10.477,11.75899,1.49122807,1.762891141,4.643962848,6.049004594,11.90283401,7.981220657,7.50524109,3.424378312,7.15807414,11.8249901,10.670161,6.40279395,5.18367347,14.7179068,12.0196604,7.11656442,8.12182741,11.1750205,,,
Non_SMK,14,10.67102,6.228374,7.263294,12.64421,7.324562,8.23182,17.20235,3.561195,9.075416,9.173479,21.4338,16.21622,23.61998,11.54886,20.91898,23.89417,15.97063,20.78365,17.58989,7.456140351,8.990744822,8.359133127,13.24655436,22.71255061,18.63849765,13.24109015,12.55605381,8.01022582,23.0587308,22.3511793,11.2533954,16.122449,35.0367948,21.5370867,14.9693252,19.7546531,18.7756779,,,
Non_SMK,21,10.15843,4.547701,12.14872,16.56668,11.27193,9.413068,13.49027,6.835857,10.86493,11.80745,26.11558,22.52252,23.54487,23.44535,23.45828,27.36668,24.2313,19.97445,23.85811,8.684210526,7.360070516,10.25541796,14.31852986,22.46963563,22.25352113,12.11740042,10.06930289,14.2735407,29.9960583,32.3099963,15.6383392,21.7959184,47.2199509,31.0098302,18.5685072,27.6226734,20.788825,,,
Non_SMK,28,,,15.0454,21.96585,17.41228,,,14.69505,17.55433,15.48592,25.34748,27.81042,30.94255,25.80147,24.70778,37.57751,26.48004,26.1925,26.38484,18.50877193,13.61833407,20.9752322,22.62633997,35.66801619,30.89201878,22.80922432,18.10028536,16.3187047,29.9566417,35.4174466,16.0263873,26.6938776,60.5069501,35.6121537,20.5316973,34.856176,23.8290879,,,
Non_SMK,35,,,19.41202,30.87217,22.54386,,,21.57184,25.52194,22.07084,28.45647,30.31727,38.71573,26.41947,25.31237,38.1976,27.90271,31.51618,28.91156,24.34210526,19.65623623,27.12848297,28.06278714,44.29149798,41.31455399,31.69811321,26.4573991,22.9228803,37.5246354,46.7989517,21.4202561,35.0612245,71.1774325,43.0741734,29.0797546,43.1049069,30.115037,,,
SMK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
SMK,7,0.3236246,1.449275,1.646091,1.493849,-0.04649,1.317583,3.88395,4.495457,1.144165,0.454339,3.568532,7.432675,-0.849171,4.421617,6.762439,7.390476,4.299424,6.023651,3.012848914,7.296329454,5.243902439,3.861003861,0.555555556,2.489270386,6.599496222,1.742320037,2.162162162,5.088596093,3.93100682,-1.4981273,-5.5255023,4.23216445,2.27560051,2.12134069,-0.6825939,4.71976401,1.20732723,4.88021295,,
SMK,14,0.924642,5.669224,3.004115,3.998243,3.44026,3.998183,2.948058,7.317073,-3.524027,0.863244,5.555556,6.750449,1.091791,7.637338,-0.140154,0.8,-3.493282,6.873614,7.310589278,7.654431513,-0.569105691,14.37151437,-2.619047619,7.596566524,7.355163728,-0.412654746,4.208494208,8.041799182,6.85920578,0.63670412,-3.7867079,11.2051592,4.12979351,4.75180314,3.7116041,8.34386852,2.87260616,6.29991127,,
SMK,21,-4.900601,-1.534527,-0.082305,3.602812,2.27801,2.907769,5.147403,8.990913,-0.1373,1.544752,3.690187,0.825853,2.143146,5.404198,-2.102313,-3.657143,-1.880998,13.30377,8.551174125,9.355416294,8.536585366,7.936507937,0.119047619,7.381974249,9.370277078,7.290233838,4.864864865,8.13266697,9.86762936,3.74531835,-1.236476,10.3587263,3.53982301,5.21849809,6.56996587,10.11378,5.57868443,7.32031943,,
