Non_SMK,SMK,Non_SMK+abx,SMK+abx
,,,
,,,
45.7,177.9,131.2,165.8
87.86,95.65,76.27,103.3
82.43,216.7,54,147.6
,,,
,,,
106.6,,91.21,20.97
98.13,138.8,27.36,115.5
61.67,192.9,96.99,
2.816,190.2,87.22,156.1
,135,89.54,122.3
64.3,147.5,85.67,106.7
104.9,197.1,100.8,201.2
26.9,177.7,63.16,119.9
15.24,138.6,23.71,89.07
109.4,149.9,86.03,152.2
28.59,184.9,84.23,221
83.92,142.5,68.68,99.5
35.37,,110.8,142.4
,284.9,141.8,102
123.6,151.5,176.2,123.2
86.84,182.1,188.1,100.5
134.1,152,174.2,149.6
106.3,146.5,144.9,
168.8,202.8,135.6,201.8
127.2,186.5,192.4,182.5
143.4,118.6,146.8,152
113.6,141.4,174.3,133.8
,237.6,212.5,102.3
44.59,170.4,144.9,114.4
26.21,124.4,89.07,115.7
72.46,230.6,55.11,140.7
22.95,187.3,,99.03
80.71,193.8,79.74,94.89
176.9,167.9,126.5,82.09
74.44,208.4,52.2,83.56
50.53,211.2,,64.92
104.8,187.5,84.62,166.7
53.92,109.9,51.25,90.22
